,location,bed,area,location_rank
0,gbagada,4,atunrase-medina,60
1,gbagada,3,atunrase-medina,46
2,gbagada,4,atunrase-medina,60
3,gbagada,3,atunrase-medina,46
4,gbagada,2,atunrase-medina,35
5,gbagada,4,atunrase-medina,60
6,gbagada,3,atunrase-medina,46
8,gbagada,4,atunrase-medina,60
10,gbagada,1,atunrase-medina,24
11,gbagada,3,atunrase-medina,46
15,gbagada,3,atunrase-medina,46
20,gbagada,1,atunrase-medina,24
21,gbagada,3,atunrase-medina,46
22,gbagada,3,atunrase-medina,46
23,gbagada,3,atunrase-medina,46
25,gbagada,1,atunrase-medina,24
26,gbagada,4,atunrase-medina,60
27,gbagada,4,atunrase-medina,60
28,gbagada,4,atunrase-medina,60
29,gbagada,4,atunrase-medina,60
31,gbagada,4,atunrase-medina,60
33,gbagada,4,atunrase-medina,60
34,gbagada,4,atunrase-medina,60
35,gbagada,2,atunrase-medina,35
38,gbagada,2,atunrase-medina,35
40,gbagada,1,atunrase-medina,24
41,gbagada,3,atunrase-medina,46
44,gbagada,1,atunrase-medina,24
45,gbagada,2,atunrase-medina,35
46,gbagada,3,atunrase-medina,46
47,gbagada,4,atunrase-medina,60
48,gbagada,4,atunrase-medina,60
49,gbagada,4,atunrase-medina,60
50,gbagada,4,atunrase-medina,60
52,gbagada,4,atunrase-medina,60
53,gbagada,3,atunrase-medina,46
54,gbagada,4,atunrase-medina,60
57,gbagada,4,atunrase-medina,60
59,gbagada,1,atunrase-medina,24
61,gbagada,3,atunrase-medina,46
62,gbagada,2,atunrase-medina,35
63,gbagada,3,atunrase-medina,46
64,gbagada,1,atunrase-medina,24
66,gbagada,4,atunrase-medina,60
67,gbagada,1,atunrase-medina,24
68,gbagada,1,atunrase-medina,24
69,gbagada,1,atunrase-medina,24
70,gbagada,1,atunrase-medina,24
71,gbagada,2,atunrase-medina,35
75,gbagada,2,atunrase-medina,35
78,gbagada,4,atunrase-medina,60
79,gbagada,2,atunrase-medina,35
81,gbagada,2,atunrase-medina,35
83,gbagada,3,atunrase-medina,46
88,gbagada,2,atunrase-medina,35
89,gbagada,3,atunrase-medina,46
90,gbagada,3,atunrase-medina,46
91,gbagada,4,atunrase-medina,60
92,gbagada,3,atunrase-medina,46
98,gbagada,3,atunrase-medina,46
101,gbagada,1,atunrase-medina,24
102,gbagada,1,atunrase-medina,24
103,gbagada,3,atunrase-medina,46
105,gbagada,3,atunrase-medina,46
106,gbagada,3,atunrase-medina,46
108,gbagada,1,atunrase-medina,24
110,gbagada,3,atunrase-medina,46
113,gbagada,3,atunrase-medina,46
117,gbagada,3,atunrase-medina,46
119,gbagada,3,atunrase-medina,46
120,gbagada,3,atunrase-medina,46
121,gbagada,3,atunrase-medina,46
122,gbagada,3,atunrase-medina,46
124,gbagada,3,atunrase-medina,46
125,gbagada,3,atunrase-medina,46
126,gbagada,3,atunrase-medina,46
127,gbagada,3,atunrase-medina,46
128,gbagada,3,atunrase-medina,46
129,gbagada,3,atunrase-medina,46
130,gbagada,1,atunrase-medina,24
131,gbagada,1,atunrase-medina,24
133,gbagada,1,atunrase-medina,24
134,gbagada,2,atunrase-medina,35
136,gbagada,3,atunrase-medina,46
137,gbagada,2,atunrase-medina,35
138,gbagada,2,atunrase-medina,35
139,gbagada,2,atunrase-medina,35
140,gbagada,1,atunrase-medina,24
141,gbagada,3,atunrase-medina,46
142,gbagada,2,atunrase-medina,35
143,gbagada,2,atunrase-medina,35
144,gbagada,2,atunrase-medina,35
145,gbagada,3,atunrase-medina,46
147,gbagada,3,atunrase-medina,46
148,gbagada,2,atunrase-medina,35
150,gbagada,2,atunrase-medina,35
152,gbagada,4,atunrase-medina,60
154,gbagada,3,atunrase-medina,46
155,gbagada,4,atunrase-medina,60
157,gbagada,2,atunrase-medina,35
158,gbagada,3,atunrase-medina,46
159,gbagada,2,atunrase-medina,35
160,gbagada,3,atunrase-medina,46
161,gbagada,3,atunrase-medina,46
162,gbagada,3,atunrase-medina,46
163,gbagada,3,atunrase-medina,46
164,gbagada,4,atunrase-medina,60
165,gbagada,3,atunrase-medina,46
167,gbagada,3,atunrase-medina,46
168,gbagada,1,atunrase-medina,24
